Conf.#  Error    Area (um²)  Power (W)  Conv1          Conv2           Conv3         FC1            FC2
1  &    -0.04   & $1012.24 \times 10^6$  &  945.199      & Exact & HHP    & Exact & GK2    & HDG \\
2  &    0.15    & $ 900.95 \times 10^6$  &  736.031      & HFZ   & HDG    & Exact & HDG    & Exact \\
3  &    -0.08   & $1143.84 \times 10^6$  & 1014.180      & Exact & GK2    & G7Z   & HHP    & HFZ \\ 
4  &    0.13    & $ 950.48 \times 10^6$  &  789.560      & HFZ   & G7Z    & G80   & Exact  & G7Z \\ 
5  &    0.04    & $ 970.83 \times 10^6$  &  859.568      & HDG   & HEB    & HHP   & G7F    & G7Z \\ 
6  &    0.07    & $ 970.17 \times 10^6$  &  784.903      & G80   & G7F    & G80   & HEB    & G7F \\ 
7  &    0.01    & $ 997.27 \times 10^6$  &  832.993      & G80   & HDG    & Exact & GK2    & HFZ \\ 
8  &    -0.02   & $ 999.64 \times 10^6$  &  930.959      & Exact & HHP    & HHP   & GK2    & HDG \\ 
9  &    0.22    & $ 814.35 \times 10^6$  &  648.202      & HDG   & HFZ    & Exact & HFZ    & HFZ \\ 
10 &    0.34    & $ 731.97 \times 10^6$  &  563.760      & HFZ   & HFZ    & GK2   & HHP    & G80 \\ 



1 mul16s_HEB
2 mul16s_HDG
3 mul16s_HFZ
4 mul16s_GAT
5 mul16s_HHP
6 mul16s_GK2
7 mul16s_G80
8 mul16s_G7Z
9 mul16s_G7F
