Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_0;2843;29567,200;1076;1678,560;11940;66063,400;97326,840;891298,607;7175372,604;8066671,211
16_bit_6_5_5_approx_5;18108;188323,200;5701;8893,560;59720;343614,440;540848,880;5049536,760;33476713,482;38526250,243
16_bit_16_5_5_approx_5;41851;435250,400;15201;23713,560;152972;858781,560;1322739,600;12294628,647;89152735,579;101447364,226
16_bit_120_1_1_approx_6;10929;113661,600;241;375,960;57053;339974,960;454030,200;4233153,987;30710966,445;34944120,432
16_bit_1_84_1_approx_2;9925;103220,000;85;132,600;42521;257918,960;361289,240;3407543,353;22175346,960;25582890,313
