Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_3;2399;24949,600;39;60,840;9427;56017,000;81045,120;774299,557;4678605,723;5452905,279
16_bit_6_5_5_approx_8;19002;197620,800;301;469,560;81770;500316,440;698408,880;6568778,700;42979827,433;49548606,134
16_bit_16_5_5_approx_7;45448;472659,200;801;1249,560;212572;1281437,560;1755348,400;16456254,639;115110556,762;131566811,401
16_bit_120_1_1_approx_0;12729;132381,600;5161;8051,160;56693;312080,080;452530,520;4119678,415;34540563,726;38660242,141
16_bit_1_84_1_approx_8;9925;103220,000;169;263,640;45041;273163,280;376664,600;3535452,434;23921736,040;27457188,474
