Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_7;2769;28797,600;51;79,560;13140;78571,480;107466,320;1009130,207;7098373,049;8107503,256
16_bit_6_5_5_approx_9;18555;192972,000;301;469,560;72170;443298,440;636757,680;6036810,796;36774253,529;42811064,325
16_bit_16_5_5_approx_7;45448;472659,200;801;1249,560;212572;1281437,560;1755348,400;16456254,639;115110556,762;131566811,401
16_bit_120_1_1_approx_1;12729;132381,600;5161;8051,160;56693;312080,080;452530,520;4119678,415;34540563,726;38660242,141
16_bit_1_84_1_approx_9;9675;100620,000;169;263,640;39665;241233,200;342134,520;3236537,957;20435252,355;23671790,312
