Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_2;2695;28028,000;26;40,560;12340;73735,480;101821,720;959053,761;6518998,369;7478052,130
16_bit_6_5_5_approx_1;19896;206918,400;7351;11467,560;74870;427072,360;645476,000;5957854,052;43990785,719;49948639,770
16_bit_16_5_5_approx_5;41851;435250,400;15201;23713,560;152972;858781,560;1322739,600;12294628,647;89152735,579;101447364,226
16_bit_120_1_1_approx_9;11649;121149,600;241;375,960;54533;325061,360;446604,600;4199338,830;28666331,112;32865669,942
16_bit_1_84_1_approx_8;9925;103220,000;169;263,640;45041;273163,280;376664,600;3535452,434;23921736,040;27457188,474
