Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_0;2843;29567,200;1076;1678,560;11940;66063,400;97326,840;891298,607;7175372,604;8066671,211
16_bit_6_5_5_approx_0;19896;206918,400;7351;11467,560;74870;427072,360;645476,000;5957854,052;43990785,719;49948639,770
16_bit_16_5_5_approx_0;96470;1004952,000;19201;29953,560;303595;1705550,600;2740456,160;26902336,634;147589948,871;174492285,505
16_bit_120_1_1_approx_0;12729;132381,600;5161;8051,160;56693;312080,080;452530,520;4119678,415;34540563,726;38660242,141
16_bit_1_84_1_approx_0;10425;108420,000;3613;5636,280;41177;232145,680;346219,640;3180349,183;24414527,618;27594876,801
