Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_3;2399;24949,600;39;60,840;9427;56017,000;81045,120;774299,557;4678605,723;5452905,279
16_bit_6_5_5_approx_3;17214;179025,600;151;235,560;59870;369822,440;549101,280;5251625,415;28946775,694;34198401,108
16_bit_16_5_5_approx_6;40652;422780,800;801;1249,560;194572;1174317,560;1598350,000;14956518,654;104208854,669;119165373,324
16_bit_120_1_1_approx_5;11289;117405,600;4561;7115,160;44573;245314,160;369852,600;3409272,872;26005860,737;29415133,609
16_bit_1_84_1_approx_7;10175;105820,000;169;263,640;45209;274167,920;380269,240;3575265,553;24145433,675;27720699,228
