Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_approx_3;2399;24949,600;39;60,840;9427;56017,000;81045,120;774299,557;4678605,723;5452905,279
16_bit_6_5_5_approx_2;19002;197620,800;151;235,560;77270;473094,440;670968,480;6341188,909;39919384,161;46260573,070
16_bit_16_5_5_approx_0;96470;1004952,000;19201;29953,560;303595;1705550,600;2740456,160;26902336,634;147589948,871;174492285,505
16_bit_120_1_1_approx_2;12009;124893,600;121;188,760;58613;348898,160;473998,200;4443595,272;31363822,728;35807418,000
16_bit_1_84_1_approx_0;10425;108420,000;3613;5636,280;41177;232145,680;346219,640;3180349,183;24414527,618;27594876,801
