Conf,Conv1,Conv2,Conv3,FC1,FC2,Total,FPGA(%)
0,3961,9850,57495,12496,6598,90400,2.615740741
1,5318,21601,41827,18748,5500,92994,2.690798611
2,4256,21601,41827,18748,5500,91932,2.660069444
3,5676,33649,89531,26798,18846,174500,5.049189815
4,2603,13766,36625,17186,14286,84466,2.444039352
5,2603,13766,36625,15624,13188,81806,2.367071759
6,4406,13766,36625,18748,8794,82339,2.382494213
