Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a14_nab_m7;3471;36202,400;658;1026,480;8590;45809,920;83038,800;852075,935;3020027,871;3872103,806
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a10_nab_m5;69340;722800,000;13201;20593,560;184485;1021331,480;1764727,120;17821329,539;71200031,858;89021361,397
16_bit_120_1_1_nab_a12_nab_m6;17514;182644,800;3730;5818,800;47240;252075,200;440538,800;4488255,618;17291744,631;21780000,249
16_bit_84_1_1_nab_a12_nab_m6;13194;137567,040;2650;4134,000;34100;184889,120;326590,160;3326278,733;12303285,645;15629564,378
