Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a22_nab_m11;2082;21756,800;333;519,480;3642;18702,320;40978,600;431733,277;1214542,098;1646275,375
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a12_nab_m6;63914;666369,600;12258;19122,480;160583;874477,240;1559969,320;15911457,390;59509207,040;75420664,429
16_bit_120_1_1_nab_a8_nab_m4;21312;222144,000;4321;6740,760;61091;334657,440;563542,200;5656403,927;24534142,917;30190546,844
16_bit_84_1_1_nab_a0_nab_m0;20928;218000,640;4033;6291,480;64363;363602,720;587894,840;5775067,220;30638406,046;36413473,266
