Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a20_nab_m10;2423;25303,200;433;675,480;4704;24378,640;50357,320;525154,312;1566742,956;2091897,268
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a0_nab_m0;96470;1004952,000;19201;29953,560;303595;1705550,600;2740456,160;26902336,634;147589948,871;174492285,505
16_bit_120_1_1_nab_a14_nab_m7;15936;166233,600;3129;4881,240;40628;215389,720;386504,560;3961973,036;14167681,467;18129654,503
16_bit_84_1_1_nab_a16_nab_m8;10746;112107,840;1977;3084,120;24690;131709,760;246901,720;2534671,900;8090654,711;10625326,611
