Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a16_nab_m8;3105;32396,000;583;909,480;7203;37967,280;71272,760;733668,512;2415525,573;3149194,084
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a4_nab_m2;85618;892091,200;16801;26209,560;254751;1423153,160;2341453,920;23254006,783;112773217,626;136027224,409
16_bit_120_1_1_nab_a0_nab_m0;27624;287788,800;5761;8987,160;89707;498854,720;795630,680;7808682,611;43284473,030;51093155,641
16_bit_84_1_1_nab_a22_nab_m11;7200;75229,440;1137;1773,720;12588;65696,800;142699,960;1497463,803;4023751,408;5521215,211
