Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a22_nab_m11;2082;21756,800;333;519,480;3642;18702,320;40978,600;431733,277;1214542,098;1646275,375
16_bit_6_5_5_nab_a22_nab_m11;13215;138060,000;2057;3208,920;22948;120913,520;262182,440;2748304,169;7270270,406;10018574,575
16_bit_16_5_5_nab_a12_nab_m6;63914;666369,600;12258;19122,480;160583;874477,240;1559969,320;15911457,390;59509207,040;75420664,429
16_bit_120_1_1_nab_a14_nab_m7;15936;166233,600;3129;4881,240;40628;215389,720;386504,560;3961973,036;14167681,467;18129654,503
16_bit_84_1_1_nab_a0_nab_m0;20928;218000,640;4033;6291,480;64363;363602,720;587894,840;5775067,220;30638406,046;36413473,266
