Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a18_nab_m9;2764;28849,600;508;792,480;5891;30808,960;60451,040;625424,628;1984047,171;2609471,799
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a10_nab_m5;69340;722800,000;13201;20593,560;184485;1021331,480;1764727,120;17821329,539;71200031,858;89021361,397
16_bit_120_1_1_nab_a16_nab_m8;14238;148574,400;2769;4319,640;34014;178135,360;331029,400;3401144,184;11374463,106;14775607,291
16_bit_84_1_1_nab_a14_nab_m7;12012;125274,240;2229;3477,240;29396;158499,640;287251,120;2942771,311;10117619,512;13060390,823
