Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a0_nab_m0;5956;62046,400;1201;1873,560;18829;105064,440;168984,400;1659919,197;9185139,310;10845058,507
16_bit_6_5_5_nab_a0_nab_m0;38707;403176,800;7201;11233,560;116331;662342,720;1076753,080;10582306,844;55556535,037;66138841,881
16_bit_16_5_5_nab_a0_nab_m0;96470;1004952,000;19201;29953,560;303595;1705550,600;2740456,160;26902336,634;147589948,871;174492285,505
16_bit_120_1_1_nab_a0_nab_m0;27624;287788,800;5761;8987,160;89707;498854,720;795630,680;7808682,611;43284473,030;51093155,641
16_bit_84_1_1_nab_a0_nab_m0;20928;218000,640;4033;6291,480;64363;363602,720;587894,840;5775067,220;30638406,046;36413473,266
