Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a22_nab_m11;2082;21756,800;333;519,480;3642;18702,320;40978,600;431733,277;1214542,098;1646275,375
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a8_nab_m4;74766;779230,400;14401;22465,560;207507;1151944,040;1953642,080;19607362,220;84139384,163;103746746,382
16_bit_120_1_1_nab_a18_nab_m9;12660;132163,200;2409;3758,040;27760;144183,520;280104,760;2894775,294;9203310,114;12098085,407
16_bit_84_1_1_nab_a22_nab_m11;7200;75229,440;1137;1773,720;12588;65696,800;142699,960;1497463,803;4023751,408;5521215,211
