Conf;Sequential instances;Sequential area(um²);Inverter instances;Inverter area (um²);Logic instances;Logic area (um²);Total area (um²);Leakage Power (nW);Dynamic Power (nW);Total Power (nW)
16_bit_1_5_5_nab_a16_nab_m8;3105;32396,000;583;909,480;7203;37967,280;71272,760;733668,512;2415525,573;3149194,084
16_bit_6_5_5_nab_a20_nab_m10;15379;160565,600;2657;4144,920;29458;156263,120;320973,640;3334521,480;9302389,419;12636910,900
16_bit_16_5_5_nab_a10_nab_m5;69340;722800,000;13201;20593,560;184485;1021331,480;1764727,120;17821329,539;71200031,858;89021361,397
16_bit_120_1_1_nab_a22_nab_m11;9504;99340,800;1569;2447,640;17052;86887,840;188676,280;1985812,511;5639979,458;7625791,968
16_bit_84_1_1_nab_a6_nab_m3;17382;181122,240;3277;5112,120;48985;274469,520;460703,880;4604976,299;20774863,639;25379839,938
